code,foodName,details.description,details.group,details.previous,details.references,details.footnote,factors.edibleProportion,factors.specificGravity,factors.totalSolids,factors.nitrogenConversionFactor,factors.glycerolConversionFactor,proximates.WATER,proximates.TOTNIT,proximates.PROT,proximates.FAT,proximates.CHO,proximates.KCALS,proximates.KJ,proximates.STAR,proximates.OLIGO,proximates.TOTSUG,proximates.GLUC,proximates.GALACT,proximates.FRUCT,proximates.SUCR,proximates.MALT,proximates.LACT,proximates.ALCO,proximates.ENGFIB,proximates.AOACFIB,proximates.SATFAC,proximates.SATFOD,proximates.TOTn6PFAC,proximates.TOTn6PFOD,proximates.TOTn3PFAC,proximates.TOTn3PFOD,proximates.MONOFACc,proximates.MONOFODc,proximates.MONOFAC,proximates.MONOFOD,proximates.POLYFACc,proximates.POLYFODc,proximates.POLYFAC,proximates.POLYFOD,proximates.SATFACx6,proximates.SATFODx6,proximates.TOTBRFAC,proximates.TOTBRFOD,proximates.FACTRANS,proximates.FODTRANS,proximates.CHOL,inorganics.NA,inorganics.K,inorganics.CA,inorganics.MG,inorganics.P,inorganics.FE,inorganics.CU,inorganics.ZN,inorganics.CL,inorganics.MN,inorganics.SE,inorganics.I,inorganics.RET,inorganics.CAREQU,inorganics.RETEQU,inorganics.VITD,inorganics.VITE,inorganics.VITK1,inorganics.THIA,inorganics.RIBO,inorganics.NIAC,inorganics.TRYP60,inorganics.NIACEQU,inorganics.VITB6,inorganics.VITB12,inorganics.FOLT,inorganics.PANTO,inorganics.BIOT,inorganics.VITC,vitamin_fractions.ALTRET,vitamin_fractions.13CISRET,vitamin_fractions.DEHYRET,vitamin_fractions.RETALD,vitamin_fractions.ACAR,vitamin_fractions.BCAR,vitamin_fractions.CRYPT,vitamin_fractions.LUT,vitamin_fractions.LYCO,vitamin_fractions.25OHD3,vitamin_fractions.VITD3,vitamin_fractions.5METHF,vitamin_fractions.ATOPH,vitamin_fractions.BTOPH,vitamin_fractions.DTOPH,vitamin_fractions.GTOPH,vitamin_fractions.ATOTR,vitamin_fractions.GTOTR,SFA.FOD4,SFA.FOD6,SFA.FOD8_0,SFA.FOD10_0,SFA.FOD11_0xb,SFA.FOD12_0,SFA.FOD12_0xb,SFA.FOD13_0,SFA.FOD13_0xb,SFA.FOD14_0,SFA.FOD14_0xb,SFA.FOD15_0,SFA.FOD15_0xb,SFA.FOD16_0,SFA.FOD16_0xb,SFA.FOD17_0,SFA.FOD17_0xb,SFA.FOD18_0,SFA.FOD18_0xb,SFA.FOD19_0,SFA.FOD20_0,SFA.FOD20_0xb,SFA.FOD22_0,SFA.FOD22_0xb,SFA.FOD24_0,SFA.FOD24_0xb,SFA.FOD25_0xb,MUFA.FOD10_1,MUFA.FOD10_1c,MUFA.FOD12_1,MUFA.FOD12_1c,MUFA.FOD14_1,MUFA.FOD14_1c,MUFA.FOD15_1,MUFA.FOD15_1c,MUFA.FOD16_1,MUFA.FOD16_1c,MUFA.FOD17_1,MUFA.FOD17_1c,MUFA.FOD18_1,MUFA.FOD18_1c,MUFA.FOD18_1n9,MUFA.FOD18_1n7,MUFA.FOD20_1,MUFA.FOD20_1c,MUFA.FOD22_1,MUFA.FOD22_1c,MUFA.FOD22_1n11,MUFA.FOD22_1n9,MUFA.FOD24_1,MUFA.FOD24_1c,MUFA.MONOFODtr,PUFA.FOD16_2,PUFA.FOD16_2c,PUFA.FOD16_3,PUFA.FOD16_4,PUFA.FOD16_4c,PUFA.FOD16 poly,PUFA.FOD18_2,PUFA.FOD18_2cn6,PUFA.FOD18_3,PUFA.FOD18_3cn3,PUFA.FOD18_3cn6,PUFA.FOD18_4,PUFA.FOD18_4cn3,PUFA.FOD18 poly,PUFA.FOD20_2,PUFA.FOD20_2cn6,PUFA.FOD20_3,PUFA.FOD20_3cn6,PUFA.FOD20_4,PUFA.FOD20_4cn6,PUFA.FOD20_5,PUFA.FOD20_5cn3,PUFA.FOD20 poly,PUFA.FOD21_5,PUFA.FOD21_5cn3,PUFA.FOD22_2,PUFA.FOD22_2cn6,PUFA.FOD22_3cn6,PUFA.FOD22_4,PUFA.FOD22_4cn6,PUFA.FOD22_5,PUFA.FOD22_5cn3,PUFA.FOD22_6,PUFA.FOD22_6cn3,PUFA.FOD22 poly,PUFA.POLYFODtr,phytosterols.TotalPHYTO,phytosterols.OtherCHOLandPHYTO,phytosterols.PHYTO,phytosterols.BSITPHYTO,phytosterols.BRASPHYTO,phytosterols.CAMPHYTO,phytosterols.D5AVEN,phytosterols.D7AVEN,phytosterols.D7STIG,phytosterols.STIGPHYTO,organic_acids.CITA
19-564,"Chicken in white sauce, made with whole milk",Recipe,MR,19-381 ,Updated 2014,,1,,,,,68.5,2.7,17,9,5.2,168,705,3,,2.2,Tr,,Tr,0,0,2.2,,0.1,0.1,,4.22,,,,,,,,3.12,,,,0.98,,,,,,0.23,71.4,91,263,67,21,172,0.47,0.06,1.1,131,0.04,9,20,59,29,64,0.2,0.24,,0.06,0.19,5.2,3.3,8.5,0.23,0.4,8,1.00,2.9,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-501,"Chicken pieces, coated, takeaway","8 samples, 7 products, including chicken nuggets, chicken bites and popcorn chicken",MCA,19-124 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1,,,6.25,0.956,44.5,2.96,18.5,14.1,17.6,267,1118,17.6,,Tr,Tr,0,Tr,Tr,Tr,0,0,1.1,1.3,12.69,2.32,18.46,3.37,2.57,0.47,38.97,7.12,39.1,7.15,21.03,3.84,21.03,3.84,12.65,2.31,0.04,0.01,0.13,0.02,44.6,535,350,28,27,218,0.65,0.07,0.6,700,0.21,8,3,Tr,Tr,Tr,Tr,2.70,,0.09,0.12,7.4,4.9,12.3,0.45,1.7,8,1.15,0.9,0,,,,,,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-500,"Chicken portions, battered, deep fried, takeaway","6 samples from fast food chains, including KFC",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1,,,6.25,0.956,54.5,3.97,24.8,12.8,4.8,233,972,4.8,,0,0,,0,0,0,0,,0.8,2.9,25.07,3.07,16.21,1.98,3.21,0.39,52.97,6.48,53.81,6.58,19.41,2.38,19.46,2.38,25,3.06,0.06,0.01,0.89,0.11,89.9,477,338,20,28,204,0.85,0.06,1.4,660,0.07,15,3,28,Tr,28,Tr,1.65,,0.09,0.25,8.4,5.9,14.3,0.42,0.2,4,1.25,1.2,0,,,,,,,,,,,,,,,,,,,Tr,Tr,0.01,Tr,,0.01,0.01,Tr,Tr,0.05,0.05,0.01,0.01,2.31,2.31,0.00,0.00,0.60,0.59,,0.02,0.02,0.02,0.02,0.01,0.01,Tr,Tr,Tr,Tr,Tr,0.01,0.01,Tr,Tr,0.47,0.47,Tr,Tr,6.01,5.90,5.68,0.30,0.08,0.08,0.01,0.01,Tr,0.01,Tr,Tr,0.10,,,,,,,1.91,1.90,0.35,0.34,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.04,0.04,0.01,0.01,,,,Tr,Tr,,0.01,0.01,0.02,0.02,0.01,0.01,,0.01,,,,,,,,,,,
19-323,"Chicken satay, takeaway",10 samples,MR,,"Aspland and James Ltd, Nutrient analysis of ethnic and takeaway foods, 1997",,1,,,6.25,0.956,60.5,3.47,21.7,10.3,3,191,798,1.4,0,1.6,0.5,,1.1,Tr,Tr,Tr,0,2.2,2,30.67,3.02,,,,,43.93,4.33,43.93,4.33,25.19,2.48,25.19,2.48,,,,,0,0,57.4,613,363,30,43,223,1.04,0.14,0.9,690,0.39,12,23,5,23,9,N,1.41,,0.07,0.07,11.0,3.2,14.2,0.22,Tr,27,0.93,5.5,Tr,3,2,,,Tr,18,9,37,Tr,,,,1.30,Tr,Tr,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,22.9,3.1,13.0,1.8,0.0,0.2,1.4,
19-538,Chicken slices,7 samples including smoked and wafer thin chicken breast. 80-100% meat,MI,,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",,1,,,6.25,,71.8,3.71,23.2,1.5,2,114,482,1.5,,0.2,0,0,0,0.2,0,0,0,N,0.3,,0.4,,,,,,,,0.7,,,,0.3,,,,,,0,63,580,360,13,28,350,0.40,0.08,0.8,730,0.02,11,5,Tr,Tr,Tr,0.2,0.24,,0.05,0.18,9.7,4.2,13.9,0.42,Tr,8,1.06,2.0,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-697,"Chicken soup, cream of, canned, condensed, as served",7 cans of the same brand. Diluted with an equal volume of water,WAC,17-252 ,As Miscellaneous Foods and Fatty Acids supplements 17-252,,1,,,,0.95,91.1,0.2,1.3,2.9,3,43,177,2.3,,0.7,Tr,0,0.1,0.2,0,0.4,0,Tr,Tr,,0.4,20.4,0.56,8.2,0.23,54.6,1.51,,1.5,26.6,0.73,,0.7,15.4,0.42,0,0,3.5,0.1,2,250,31,20,4,20,0.30,0.02,0.3,380,Tr,Tr,2,48,20,51,0.0,0.46,,0.01,0.02,0.3,0.2,0.5,0.01,Tr,Tr,0.03,0.0,0,,,,,,,,,,,,,,,,,,,0.01,0.00,0.00,0.00,,,0.01,,,,0.02,,0.00,,0.27,,0.00,,0.09,,,0.01,,0.01,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.02,,0.01,,1.42,1.33,0.10,,0.04,,0.01,Tr,Tr,,0.01,0.04,,,,,,,,0.55,,0.18,0.00,,0.00,,,,,0.00,,0.00,,0.00,,,,,,,,0.00,,0.00,,0.00,,0.06,15.0,0.0,,8.0,1.0,6.0,0.0,,,0.0,
19-541,"Chicken wings, marinated, meat and skin, barbecued","4 samples including American and Chinese style and hot and spicy wings, chilled and frozen",MR,,"LGC, Nutrient analysis of foods commonly consumed by schoolchildren, 1995; and industry data, 2013",,1,,,6.25,,50.5,4.38,27.4,16.6,4.1,274,1146,0.5,,3.6,0.5,0,0.6,2.5,0,0,0,N,0.5,,4.6,,,,,,,,7.5,,,,3.3,,,,,,0.2,120,390,350,42,27,200,1.30,0.09,1.6,610,0.15,17,6,24,N,N,0.1,0.23,,0.07,0.11,6.2,5.3,11.5,0.27,1.0,10,1.34,4.0,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-652,"Chicken wings, marinated, meat and skin, barbecued, weighed with bone",Calculated from 19-541,MR,19-205 ,"LGC, Nutrient analysis of foods commonly consumed by schoolchildren, 1995; and industry data, 2013",,0.65,,,6.25,,32.8,2.85,17.8,10.8,2.7,179,745,0.3,,2.3,0.3,0,0.4,1.6,0,0,0,N,0.3,,3,,,,,,,,4.9,,,,2.1,,,,,,0.1,78,250,230,27,18,130,0.90,0.06,1.1,400,0.10,11,4,16,N,N,0.1,0.15,,0.05,0.07,4.0,3.5,7.5,0.18,1.0,7,0.87,3.0,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-308,"Chicken, breast, casseroled, meat and skin",Calculated from 90% light meat and 10% skin from fresh and frozen chicken,MCA,18-449 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995 (chicken, fresh, casseroled with skin, light meat (Fatty Acids Supplement 18-449) not integrated, different samples and values)",,1,,,,,65.8,4.3,26.9,8.5,0,184,772,0,,0,0,0,0,0,0,0,0,0,,29.7,2.4,,,,,,,48.6,3.9,,,19.4,1.6,,,,,1.2,0.1,92,60,260,10,24,200,0.50,0.06,1.1,60,0.01,14,8,6,Tr,6,0.1,0.07,,0.06,0.13,8.3,5.1,13.4,0.34,Tr,6,1.27,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-309,"Chicken, breast, casseroled, meat and skin, weighed with bone",Calculated from 18-308,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995 (chicken, fresh, casseroled with skin, light meat (Fatty Acids Supplement 18-449)  not integrated, different samples and values)",,0.9,,,,,59.2,3.87,24.2,7.6,0,165,693,0,,0,0,0,0,0,0,0,0,0,,29.7,2.1,,,,,,,48.6,3.5,,,19.4,1.4,,,,,1.2,0.1,83,55,240,9,22,180,0.40,0.05,1.0,55,0.01,13,7,5,Tr,5,0.1,0.06,,0.05,0.12,7.5,4.6,12.1,0.31,Tr,5,1.14,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-307,"Chicken, breast, casseroled, meat only",Calculated from light meat from fresh and frozen chicken,MCA,,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,6.25,,67.7,4.54,28.4,5.2,0,160,675,0,,0,0,0,0,0,0,0,0,0,0,29.6,1.5,,,,,,,48.3,2.4,,,19.6,1,,,,,1.1,0.1,90,60,270,9,25,210,0.50,0.06,1.1,60,0.01,13,8,Tr,Tr,Tr,0.1,0.07,,0.06,0.13,8.8,5.6,14.4,0.36,Tr,6,1.34,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-324,"Chicken, breast, grilled with skin, meat only",17 samples,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,68,4.76,29.8,3.1,0,147,621,0,,0,0,0,0,0,0,0,0,0,,30,0.9,,,,,,,45.4,1.3,,,22,0.6,,,,,1,Tr,84,60,410,7,34,280,0.50,0.06,0.8,66,0.01,15,6,Tr,Tr,Tr,0.1,0.12,,0.10,0.20,14.3,5.8,20.1,0.42,Tr,5,1.66,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-323,"Chicken, breast, grilled without skin, meat only",10 samples,MCA, ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,6.25,0.95,66.6,5.11,32,2.2,0,148,626,0,,0,0,0,0,0,0,0,0,0,0,30.8,0.6,16.32,0.41,4.25,0.11,44.96,1.13,46.4,1,20.63,0.52,19.7,0.4,29.99,0.75,0.39,0.01,1.18,0.03,94,55,460,6,36,310,0.40,0.04,0.8,67,0.01,16,7,Tr,Tr,Tr,0.3,0.17,,0.14,0.13,15.8,6.2,22.0,0.63,Tr,6,1.67,2.0,0,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,,,,0.02,,0.00,,0.54,,0.01,,0.17,,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.11,,0.00,,1.00,0.95,0.06,,0.01,,0.00,0.00,0.00,,0.00,0.02,,,,,0.01,,,0.38,,0.05,0.00,,0.00,,,0.01,,0.01,,0.02,,0.01,,,,,,,,0.00,,0.02,,0.03,,0.01,1.6,0.0,,0.3,0.3,0.9,0.1,,,0.0,
18-325,"Chicken, breast, grilled, meat and skin",Calculated from 92% light meat and 8% skin from fresh and frozen chicken,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,64.8,4.63,28.9,6.4,0,173,728,0,,0,0,0,0,0,0,0,0,0,,15.1,0.9,,,,,,,23.5,1.4,,,10.8,0.7,,,,,0.7,Tr,90,61,400,7,33,270,0.60,0.06,0.8,69,0.01,15,6,5,Tr,5,0.2,0.12,,0.10,0.19,13.6,5.5,19.1,0.40,Tr,5,1.57,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-326,"Chicken, breast, strips, stir-fried in corn oil","10 samples, skinless",MCA,,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,6.25,0.956,65.9,4.76,29.7,4.6,0,161,677,0,,0,0,0,0,0,0,0,0,0,0,N,N,,,,,,,N,N,,,N,N,,,,,N,N,87,61,420,6,33,280,0.50,0.08,0.8,63,0.01,15,7,Tr,Tr,Tr,0.2,N,,0.11,0.16,14.4,5.8,20.2,0.44,Tr,5,1.56,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-299,"Chicken, corn-fed, raw, dark meat only",6 samples,MCA,18-453 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995; with fatty acids as Fatty Acid Supplement, 1998 (18-453)",,1,,,,0.95,72.5,3.12,19.5,7.2,0,143,599,0,,0,0,0,0,0,0,0,0,0,,30.4,2.1,19.37,1.32,1.96,0.13,6.09,3.14,46.5,3.2,21.37,1.46,21.4,1.5,30.12,2.06,0.26,,0.42,0.03,100,80,300,7,23,200,0.90,0.05,1.6,83,0.01,14,5,31,Tr,31,0.5,0.05,,0.09,0.22,5.9,3.6,9.5,0.34,1.0,6,1.28,3.0,0,31,Tr,0,0,,,,,,0.09,Tr,,,,,,,,,,,Tr,,Tr,,,,Tr,,Tr,,1.50,,Tr,,0.40,,,Tr,,0.00,,0.00,,,0.00,,0.00,,Tr,,0.00,,0.40,,Tr,,2.70,,,,Tr,,Tr,,,,0.00,,,,,,Tr,,,1.20,,0.10,,,0.00,,,Tr,,Tr,,0.10,,Tr,,,0.00,,0.00,,,Tr,,Tr,,Tr,,,,,,,,,,,,,,
18-300,"Chicken, corn-fed, raw, light meat only",6 samples,MCA,18-452 ,"LGC, Nutrient analysis of chicken and turkey, 1994-1995;and Fatty Acid Supplement, 1998 (18-452)",,1,,,,0.95,73.4,3.69,23,2.8,0,118,496,0,,0,0,0,0,0,0,0,0,0,,30.8,0.8,19.19,0.51,2.32,0.06,44.52,1.19,44.9,1.2,21.56,0.57,21.7,0.6,30.48,0.81,0.3,0.01,0.52,0.01,70,90,330,9,28,230,0.40,0.09,0.8,66,0.01,12,5,14,Tr,14,0.5,0.19,,0.07,0.11,11.5,4.4,15.9,0.77,Tr,10,1.20,2.0,0,14,Tr,0,0,,,,,,0.09,Tr,,,,,,,,,,,Tr,,Tr,,,,Tr,,Tr,,0.60,,Tr,,0.20,,,Tr,,0.00,,0.00,,,0.00,,0.00,,Tr,,0.00,,0.10,,Tr,,1.00,,,,Tr,,Tr,,,,0.00,,,,,,Tr,,,0.50,,Tr,,,0.00,,,Tr,,Tr,,Tr,,Tr,,,0.00,,0.00,,,Tr,,Tr,,Tr,,,,,,,,,,,,,,
18-301,"Chicken, corn-fed, raw, meat only",Calculated from 54% light meat and 46% dark meat,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,73,3.42,21.4,4.8,0,129,541,0,,0,0,0,0,0,0,0,0,0,,30.6,1.4,,,,,,,45.6,2.1,,,21.6,1,,,,,0.5,Tr,85,85,320,8,26,210,0.60,0.07,1.2,75,0.01,13,5,22,Tr,22,0.5,0.13,,0.08,0.16,8.9,4.0,12.9,0.57,Tr,8,1.24,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-302,"Chicken, corn-fed, raw, skin only",6 samples,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,39.8,1.61,10.1,52.7,0,514,2120,0,,0,0,0,0,0,0,0,0,0,,30.6,15.2,,,,,,,47.8,23.8,,,20.3,10.1,,,,,0.6,0.3,140,50,130,6,9,95,0.60,0.02,0.7,64,0.01,N,5,165,Tr,165,N,N,,N,N,N,N,N,N,N,N,N,N,0,155,11,0,0,,,,,,,,,,,,,,,,,,Tr,,0.00,,,,0.40,,0.10,,11.50,,0.20,,3.00,,,Tr,,0.00,,0.00,,,0.00,,0.00,,0.10,,0.00,,2.90,,0.10,,20.50,,,,0.20,,Tr,,,,0.00,,,,,,0.00,,,9.00,,0.70,,,0.00,,,0.10,,0.10,,0.10,,Tr,,,0.00,,0.00,,,0.00,,Tr,,Tr,,,,,,,,,,,,,,
18-343,"Chicken, corn-fed, roasted, dark meat only",6 samples,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,66.1,3.84,24,9.8,0,185,772,0,,0,0,0,0,0,0,0,0,0,,30.3,2.8,,,,,,,46.5,4.3,,,21.4,2,,,,,0.4,Tr,120,95,290,9,22,200,1.00,0.08,2.1,76,0.02,16,6,16,Tr,16,0.2,0.20,,0.07,0.25,6.8,4.7,11.5,0.29,Tr,6,1.26,3.0,0,16,Tr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-344,"Chicken, corn-fed, roasted, light meat only",6 samples,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,67.4,4.13,25.8,4.2,0,141,595,0,,0,0,0,0,0,0,0,0,0,,30.8,1.2,,,,,,,44.9,1.8,,,21.7,0.9,,,,,0.5,Tr,76,90,330,9,28,230,0.40,0.06,0.8,54,0.01,13,6,Tr,Tr,Tr,0.2,0.14,,0.06,0.13,12.0,5.1,17.1,0.54,Tr,10,1.35,2.0,0,Tr,Tr,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-345,"Chicken, corn-fed, roasted, meat only",Calculated from 48% light meat and 52% dark meat,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,,,66.7,3.98,24.9,7.2,0,164,690,0,,0,0,0,0,0,0,0,0,0,,30.6,2.1,,,,,,,45.7,3.1,,,21.5,1.5,,,,,0.5,Tr,99,90,310,9,25,210,0.70,0.07,1.5,65,0.02,15,6,8,Tr,8,0.2,0.17,,0.07,0.19,9.3,4.9,14.2,0.41,Tr,8,1.30,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-289,"Chicken, dark meat, raw","31 samples, fresh and frozen",MCA,50-434  ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,1,,,6.25,0.95,75.8,3.34,20.9,2.8,0,109,459,0,,0,0,0,0,0,0,0,0,0,0,28.4,0.8,17.57,0.46,3.31,0.09,48.54,1.28,49.2,1.3,20.69,0.55,20.8,0.6,28.08,0.74,Tr,Tr,0.81,0.02,105,90,390,7,24,110,0.80,0.02,1.7,110,0.01,14,6,20,Tr,20,0.1,0.17,0.05,0.14,0.22,5.6,4.1,9.7,0.28,1.0,9,1.09,3.0,0,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,,,,0.02,,0.00,,0.54,,0.01,,0.16,,,0.00,,0.00,,0.00,,,0.00,,0.00,,0.00,,0.00,,0.13,,0.01,,1.13,1.07,0.07,,0.02,,0.00,0.00,0.00,,0.00,0.02,,,,,,,,0.44,,0.07,0.00,,0.00,,,0.01,,Tr,,0.01,,0.00,,,,,,,,0.00,,0.01,,0.01,,Tr,,,,,,,,,,,
18-329,"Chicken, dark meat, roasted","19 samples, fresh and frozen",MCA,50-441  ,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,6.25,0.95,63.9,3.9,24.4,10.9,0,196,819,0,,0,0,0,0,0,0,0,0,0,0,,2.89,,1.81,,0.33,,5,,5.07,,2.13,,2.14,,2.85,,0.04,,0.08,120,100,300,17,23,200,0.80,0.08,2.2,88,0.02,17,6,24,Tr,24,0.1,0.23,,0.07,0.11,6.2,5.3,11.5,0.27,1.0,10,1.34,4.0,0,5,20,0,0,,,,,,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-311,"Chicken, drumsticks, casseroled, meat and skin","Calculated from 85% dark meat and 15% skin, fresh and frozen",MCA,,"Reviewed 2013. LGC, Nutrient analysis of chicken and turkey, 1994-1995",,1,,,6.25,0.945,63.7,3.57,22.3,14.2,0,217,905,0,,0,0,0,0,0,0,0,0,0,0,28.6,3.8,,,,,,,49.3,6.6,,,20.5,2.8,,,,,1.4,0.2,125,75,200,30,18,170,1.10,0.07,1.9,70,0.02,15,7,27,Tr,27,0.2,0.35,,0.05,0.12,5.0,4.2,9.2,0.21,Tr,8,1.08,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-312,"Chicken, drumsticks, casseroled, meat and skin, weighed with bone",Calculated from 18-311,MCA,,"LGC, Nutrient analysis of chicken and turkey, 1994-1995",,0.65,,,,,41.4,2.32,14.5,9.2,0,141,587,0,,0,0,0,0,0,0,0,0,0,,28.6,2.6,,,,,,,49.3,4.5,,,20.5,1.9,,,,,1.4,0.1,80,50,130,20,12,110,0.70,0.04,1.2,45,0.01,10,5,18,Tr,18,0.1,0.23,,0.03,0.08,3.2,2.7,5.9,0.14,Tr,5,0.70,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
